ID,Latitude,Longitude,poi,lat,long,distance
1514975,40.72143,-73.98117,Statue of Liberty,40.6891078,-74.0440954,
1516632,40.66888,-73.95292,Statue of Liberty,40.6891078,-74.0440954,
1518289,40.65846,-73.95057,Statue of Liberty,40.6891078,-74.0440954,
1518841,40.78164,-73.94717,Statue of Liberty,40.6891078,-74.0440954,
1522155,40.70712,-73.94013,Statue of Liberty,40.6891078,-74.0440954,
1523260,40.77584,-73.9502,Statue of Liberty,40.6891078,-74.0440954,
1526573,40.7376,-73.95678,Statue of Liberty,40.6891078,-74.0440954,
1527126,40.71148,-73.95573,Statue of Liberty,40.6891078,-74.0440954,
1529335,40.72212,-73.95696,Statue of Liberty,40.6891078,-74.0440954,
1530439,40.62109,-74.16534,Statue of Liberty,40.6891078,-74.0440954,
1530992,40.78161,-73.97898,Statue of Liberty,40.6891078,-74.0440954,
1531544,40.75643,-73.99046,Statue of Liberty,40.6891078,-74.0440954,
1533201,40.80491,-73.94866,Statue of Liberty,40.6891078,-74.0440954,
1534858,40.704,-73.93285,Statue of Liberty,40.6891078,-74.0440954,
1540381,40.68581,-73.84642,Statue of Liberty,40.6891078,-74.0440954,
1541485,40.70994,-73.96573,Statue of Liberty,40.6891078,-74.0440954,
1542590,40.70621,-74.01525,Statue of Liberty,40.6891078,-74.0440954,
1545352,40.83091,-73.94223,Statue of Liberty,40.6891078,-74.0440954,
1546456,40.72634,-73.98267,Statue of Liberty,40.6891078,-74.0440954,
1549218,40.70339,-73.92945,Statue of Liberty,40.6891078,-74.0440954,
1550322,40.67939,-73.99398,Statue of Liberty,40.6891078,-74.0440954,
1550875,40.76494,-73.95804,Statue of Liberty,40.6891078,-74.0440954,
1551979,40.79314,-73.94853,Statue of Liberty,40.6891078,-74.0440954,
1555293,40.72057,-73.99976,Statue of Liberty,40.6891078,-74.0440954,
1556398,40.71121,-73.94669,Statue of Liberty,40.6891078,-74.0440954,
1558607,40.68599,-73.98826,Statue of Liberty,40.6891078,-74.0440954,
1559159,40.79477,-73.95046,Statue of Liberty,40.6891078,-74.0440954,
1559711,40.5781,-73.95455,Statue of Liberty,40.6891078,-74.0440954,
1560816,40.71472,-73.96225,Statue of Liberty,40.6891078,-74.0440954,
1564682,40.68722,-73.96289,Statue of Liberty,40.6891078,-74.0440954,
1565234,40.73111,-73.98528,Statue of Liberty,40.6891078,-74.0440954,
1566891,40.72978,-73.9793,Statue of Liberty,40.6891078,-74.0440954,
1567444,40.68838,-73.94193,Statue of Liberty,40.6891078,-74.0440954,
1573519,40.83559,-73.94095,Statue of Liberty,40.6891078,-74.0440954,
1574071,40.79234,-73.96482,Statue of Liberty,40.6891078,-74.0440954,
1574623,40.83451,-73.93885,Statue of Liberty,40.6891078,-74.0440954,
1575176,40.74826,-73.94633,Statue of Liberty,40.6891078,-74.0440954,
1576833,40.65408,-73.87883,Statue of Liberty,40.6891078,-74.0440954,
1579594,40.70917,-74.0146,Statue of Liberty,40.6891078,-74.0440954,
1580146,40.7108,-73.96226,Statue of Liberty,40.6891078,-74.0440954,
